resp.id;ques;alt;spec;vel;qual;priv;cost;choice
4;5;alt2;Assistente;Lento;Sufficente;Bassa;15;0
4;5;alt3;Codice;Veloce;Ottimale;Alta;20;1
4;6;alt1;Codice;Lento;Ottimale;Bassa;15;0
4;6;alt2;Content;Veloce;Ottimale;Bassa;20;0
4;6;alt3;Assistente;Veloce;Sufficente;Alta;25;1
4;7;alt1;Codice;Lento;Ottimale;Bassa;25;0
4;7;alt2;Assistente;Lento;Ottimale;Alta;25;0
4;7;alt3;Content;Veloce;Sufficente;Alta;20;1
4;8;alt1;Codice;Veloce;Ottimale;Alta;25;1
4;8;alt2;Content;Lento;Ottimale;Alta;20;0
4;8;alt3;Assistente;Veloce;Sufficente;Bassa;15;0
4;9;alt1;Codice;Veloce;Sufficente;Bassa;25;1
4;9;alt2;Assistente;Lento;Ottimale;Bassa;20;0
4;9;alt3;Content;Lento;Sufficente;Alta;15;0
4;10;alt1;Assistente;Veloce;Sufficente;Bassa;15;0
4;10;alt2;Content;Lento;Ottimale;Bassa;20;0
4;10;alt3;Content;Lento;Sufficente;Alta;25;1
5;1;alt1;Assistente;Lento;Ottimale;Bassa;25;0
5;1;alt2;Codice;Lento;Sufficente;Alta;20;0
5;1;alt3;Content;Veloce;Ottimale;Bassa;15;1
5;2;alt1;Content;Veloce;Ottimale;Bassa;25;0
5;2;alt2;Assistente;Veloce;Ottimale;Bassa;20;1
5;2;alt3;Codice;Lento;Sufficente;Alta;15;0
5;3;alt1;Codice;Lento;Sufficente;Bassa;20;0
5;3;alt2;Content;Lento;Ottimale;Alta;15;1
5;3;alt3;Assistente;Veloce;Sufficente;Alta;25;0
5;4;alt1;Assistente;Lento;Sufficente;Alta;20;0
5;4;alt2;Codice;Veloce;Sufficente;Bassa;15;0
5;4;alt3;Content;Veloce;Ottimale;Alta;25;1
5;5;alt1;Codice;Lento;Sufficente;Alta;25;0
5;5;alt2;Assistente;Lento;Sufficente;Bassa;15;0
5;5;alt3;Codice;Veloce;Ottimale;Alta;20;1
5;6;alt1;Codice;Lento;Ottimale;Bassa;15;1
5;6;alt2;Content;Veloce;Ottimale;Bassa;20;0
5;6;alt3;Assistente;Veloce;Sufficente;Alta;25;0
5;7;alt1;Codice;Lento;Ottimale;Bassa;25;0
5;7;alt2;Assistente;Lento;Ottimale;Alta;25;1
5;7;alt3;Content;Veloce;Sufficente;Alta;20;0
5;8;alt1;Codice;Veloce;Ottimale;Alta;25;1
5;8;alt2;Content;Lento;Ottimale;Alta;20;0
5;8;alt3;Assistente;Veloce;Sufficente;Bassa;15;0
5;9;alt1;Codice;Veloce;Sufficente;Bassa;25;0
5;9;alt2;Assistente;Lento;Ottimale;Bassa;20;1
5;9;alt3;Content;Lento;Sufficente;Alta;15;0
5;10;alt1;Assistente;Veloce;Sufficente;Bassa;15;0
5;10;alt2;Content;Lento;Ottimale;Bassa;20;1
5;10;alt3;Content;Lento;Sufficente;Alta;25;0
6;1;alt1;Assistente;Lento;Ottimale;Bassa;25;0
6;1;alt2;Codice;Lento;Sufficente;Alta;20;0
6;1;alt3;Content;Veloce;Ottimale;Bassa;15;1
6;2;alt1;Content;Veloce;Ottimale;Bassa;25;0
6;2;alt2;Assistente;Veloce;Ottimale;Bassa;20;0
6;2;alt3;Codice;Lento;Sufficente;Alta;15;1
6;3;alt1;Codice;Lento;Sufficente;Bassa;20;0
6;3;alt2;Content;Lento;Ottimale;Alta;15;1
6;3;alt3;Assistente;Veloce;Sufficente;Alta;25;0
6;4;alt1;Assistente;Lento;Sufficente;Alta;20;0
6;4;alt2;Codice;Veloce;Sufficente;Bassa;15;1
6;4;alt3;Content;Veloce;Ottimale;Alta;25;0
6;5;alt1;Codice;Lento;Sufficente;Alta;25;0
6;5;alt2;Assistente;Lento;Sufficente;Bassa;15;0
6;5;alt3;Codice;Veloce;Ottimale;Alta;20;1
6;6;alt1;Codice;Lento;Ottimale;Bassa;15;1
6;6;alt2;Content;Veloce;Ottimale;Bassa;20;0
6;6;alt3;Assistente;Veloce;Sufficente;Alta;25;0
6;7;alt1;Codice;Lento;Ottimale;Bassa;25;0
6;7;alt2;Assistente;Lento;Ottimale;Alta;25;0
6;7;alt3;Content;Veloce;Sufficente;Alta;20;1
6;8;alt1;Codice;Veloce;Ottimale;Alta;25;0
6;8;alt2;Content;Lento;Ottimale;Alta;20;1
6;8;alt3;Assistente;Veloce;Sufficente;Bassa;15;0
6;9;alt1;Codice;Veloce;Sufficente;Bassa;25;0
6;9;alt2;Assistente;Lento;Ottimale;Bassa;20;0
6;9;alt3;Content;Lento;Sufficente;Alta;15;1
6;10;alt1;Assistente;Veloce;Sufficente;Bassa;15;0
6;10;alt2;Content;Lento;Ottimale;Bassa;20;1
6;10;alt3;Content;Lento;Sufficente;Alta;25;0
7;1;alt1;Assistente;Lento;Ottimale;Bassa;25;0
7;1;alt2;Codice;Lento;Sufficente;Alta;20;1
7;1;alt3;Content;Veloce;Ottimale;Bassa;15;0
7;2;alt1;Content;Veloce;Ottimale;Bassa;25;0
7;2;alt2;Assistente;Veloce;Ottimale;Bassa;20;1
7;2;alt3;Codice;Lento;Sufficente;Alta;15;0
7;3;alt1;Codice;Lento;Sufficente;Bassa;20;0
7;3;alt2;Content;Lento;Ottimale;Alta;15;1
7;3;alt3;Assistente;Veloce;Sufficente;Alta;25;0
7;4;alt1;Assistente;Lento;Sufficente;Alta;20;0
7;4;alt2;Codice;Veloce;Sufficente;Bassa;15;1
7;4;alt3;Content;Veloce;Ottimale;Alta;25;0
7;5;alt1;Codice;Lento;Sufficente;Alta;25;0
7;5;alt2;Assistente;Lento;Sufficente;Bassa;15;1
7;5;alt3;Codice;Veloce;Ottimale;Alta;20;0
7;6;alt1;Codice;Lento;Ottimale;Bassa;15;0
7;6;alt2;Content;Veloce;Ottimale;Bassa;20;0
7;6;alt3;Assistente;Veloce;Sufficente;Alta;25;1
7;7;alt1;Codice;Lento;Ottimale;Bassa;25;0
7;7;alt2;Assistente;Lento;Ottimale;Alta;25;0
7;7;alt3;Content;Veloce;Sufficente;Alta;20;1
7;8;alt1;Codice;Veloce;Ottimale;Alta;25;1
7;8;alt2;Content;Lento;Ottimale;Alta;20;0
7;8;alt3;Assistente;Veloce;Sufficente;Bassa;15;0
7;9;alt1;Codice;Veloce;Sufficente;Bassa;25;1
7;9;alt2;Assistente;Lento;Ottimale;Bassa;20;0
7;9;alt3;Content;Lento;Sufficente;Alta;15;0
7;10;alt1;Assistente;Veloce;Sufficente;Bassa;15;1
7;10;alt2;Content;Lento;Ottimale;Bassa;20;0
7;10;alt3;Content;Lento;Sufficente;Alta;25;0
8;1;alt1;Assistente;Lento;Ottimale;Bassa;25;0
8;1;alt2;Codice;Lento;Sufficente;Alta;20;0
8;1;alt3;Content;Veloce;Ottimale;Bassa;15;1
8;2;alt1;Content;Veloce;Ottimale;Bassa;25;0
8;2;alt2;Assistente;Veloce;Ottimale;Bassa;20;0
8;2;alt3;Codice;Lento;Sufficente;Alta;15;1
8;3;alt1;Codice;Lento;Sufficente;Bassa;20;0
8;3;alt2;Content;Lento;Ottimale;Alta;15;0
8;3;alt3;Assistente;Veloce;Sufficente;Alta;25;1
8;4;alt1;Assistente;Lento;Sufficente;Alta;20;0
8;4;alt2;Codice;Veloce;Sufficente;Bassa;15;0
8;4;alt3;Content;Veloce;Ottimale;Alta;25;1
8;5;alt1;Codice;Lento;Sufficente;Alta;25;0
8;5;alt2;Assistente;Lento;Sufficente;Bassa;15;0
8;5;alt3;Codice;Veloce;Ottimale;Alta;20;1
8;6;alt1;Codice;Lento;Ottimale;Bassa;15;1
8;6;alt2;Content;Veloce;Ottimale;Bassa;20;0
8;6;alt3;Assistente;Veloce;Sufficente;Alta;25;0
8;7;alt1;Codice;Lento;Ottimale;Bassa;25;1
8;7;alt2;Assistente;Lento;Ottimale;Alta;25;0
8;7;alt3;Content;Veloce;Sufficente;Alta;20;0
8;8;alt1;Codice;Veloce;Ottimale;Alta;25;1
8;8;alt2;Content;Lento;Ottimale;Alta;20;0
8;8;alt3;Assistente;Veloce;Sufficente;Bassa;15;0
8;9;alt1;Codice;Veloce;Sufficente;Bassa;25;0
8;9;alt2;Assistente;Lento;Ottimale;Bassa;20;1
8;9;alt3;Content;Lento;Sufficente;Alta;15;0
8;10;alt1;Assistente;Veloce;Sufficente;Bassa;15;1
8;10;alt2;Content;Lento;Ottimale;Bassa;20;0
8;10;alt3;Content;Lento;Sufficente;Alta;25;0
9;1;alt1;Assistente;Lento;Ottimale;Bassa;25;0
9;1;alt2;Codice;Lento;Sufficente;Alta;20;0
9;1;alt3;Content;Veloce;Ottimale;Bassa;15;1
9;2;alt1;Content;Veloce;Ottimale;Bassa;25;0
9;2;alt2;Assistente;Veloce;Ottimale;Bassa;20;1
9;2;alt3;Codice;Lento;Sufficente;Alta;15;0
9;3;alt1;Codice;Lento;Sufficente;Bassa;20;0
9;3;alt2;Content;Lento;Ottimale;Alta;15;1
9;3;alt3;Assistente;Veloce;Sufficente;Alta;25;0
9;4;alt1;Assistente;Lento;Sufficente;Alta;20;0
9;4;alt2;Codice;Veloce;Sufficente;Bassa;15;0
9;4;alt3;Content;Veloce;Ottimale;Alta;25;1
9;5;alt1;Codice;Lento;Sufficente;Alta;25;0
9;5;alt2;Assistente;Lento;Sufficente;Bassa;15;0
9;5;alt3;Codice;Veloce;Ottimale;Alta;20;1
9;6;alt1;Codice;Lento;Ottimale;Bassa;15;0
9;6;alt2;Content;Veloce;Ottimale;Bassa;20;1
9;6;alt3;Assistente;Veloce;Sufficente;Alta;25;0
9;7;alt1;Codice;Lento;Ottimale;Bassa;25;0
9;7;alt2;Assistente;Lento;Ottimale;Alta;25;1
9;7;alt3;Content;Veloce;Sufficente;Alta;20;0
9;8;alt1;Codice;Veloce;Ottimale;Alta;25;1
9;8;alt2;Content;Lento;Ottimale;Alta;20;0
9;8;alt3;Assistente;Veloce;Sufficente;Bassa;15;0
9;9;alt1;Codice;Veloce;Sufficente;Bassa;25;0
9;9;alt2;Assistente;Lento;Ottimale;Bassa;20;1
9;9;alt3;Content;Lento;Sufficente;Alta;15;0
9;10;alt1;Assistente;Veloce;Sufficente;Bassa;15;0
9;10;alt2;Content;Lento;Ottimale;Bassa;20;1
9;10;alt3;Content;Lento;Sufficente;Alta;25;0
10;1;alt1;Assistente;Lento;Ottimale;Bassa;25;0
10;1;alt2;Codice;Lento;Sufficente;Alta;20;0
10;1;alt3;Content;Veloce;Ottimale;Bassa;15;1
10;2;alt1;Content;Veloce;Ottimale;Bassa;25;0
10;2;alt2;Assistente;Veloce;Ottimale;Bassa;20;1
10;2;alt3;Codice;Lento;Sufficente;Alta;15;0
10;3;alt1;Codice;Lento;Sufficente;Bassa;20;0
10;3;alt2;Content;Lento;Ottimale;Alta;15;0
10;3;alt3;Assistente;Veloce;Sufficente;Alta;25;1
10;4;alt1;Assistente;Lento;Sufficente;Alta;20;0
10;4;alt2;Codice;Veloce;Sufficente;Bassa;15;1
10;4;alt3;Content;Veloce;Ottimale;Alta;25;0
10;5;alt1;Codice;Lento;Sufficente;Alta;25;0
10;5;alt2;Assistente;Lento;Sufficente;Bassa;15;0
10;5;alt3;Codice;Veloce;Ottimale;Alta;20;1
10;6;alt1;Codice;Lento;Ottimale;Bassa;15;1
10;6;alt2;Content;Veloce;Ottimale;Bassa;20;0
10;6;alt3;Assistente;Veloce;Sufficente;Alta;25;0
10;7;alt1;Codice;Lento;Ottimale;Bassa;25;1
10;7;alt2;Assistente;Lento;Ottimale;Alta;25;0
10;7;alt3;Content;Veloce;Sufficente;Alta;20;0
10;8;alt1;Codice;Veloce;Ottimale;Alta;25;1
10;8;alt2;Content;Lento;Ottimale;Alta;20;0
10;8;alt3;Assistente;Veloce;Sufficente;Bassa;15;0
10;9;alt1;Codice;Veloce;Sufficente;Bassa;25;0
10;9;alt2;Assistente;Lento;Ottimale;Bassa;20;0
10;9;alt3;Content;Lento;Sufficente;Alta;15;1
10;10;alt1;Assistente;Veloce;Sufficente;Bassa;15;1
10;10;alt2;Content;Lento;Ottimale;Bassa;20;0
10;10;alt3;Content;Lento;Sufficente;Alta;25;0
11;1;alt1;Assistente;Lento;Ottimale;Bassa;25;0
11;1;alt2;Codice;Lento;Sufficente;Alta;20;1
11;1;alt3;Content;Veloce;Ottimale;Bassa;15;0
11;2;alt1;Content;Veloce;Ottimale;Bassa;25;0
11;2;alt2;Assistente;Veloce;Ottimale;Bassa;20;0
11;2;alt3;Codice;Lento;Sufficente;Alta;15;1
11;3;alt1;Codice;Lento;Sufficente;Bassa;20;0
11;3;alt2;Content;Lento;Ottimale;Alta;15;0
11;3;alt3;Assistente;Veloce;Sufficente;Alta;25;1
11;4;alt1;Assistente;Lento;Sufficente;Alta;20;1
11;4;alt2;Codice;Veloce;Sufficente;Bassa;15;0
11;4;alt3;Content;Veloce;Ottimale;Alta;25;0
11;5;alt1;Codice;Lento;Sufficente;Alta;25;0
11;5;alt2;Assistente;Lento;Sufficente;Bassa;15;0
11;5;alt3;Codice;Veloce;Ottimale;Alta;20;1
11;6;alt1;Codice;Lento;Ottimale;Bassa;15;0
11;6;alt2;Content;Veloce;Ottimale;Bassa;20;0
11;6;alt3;Assistente;Veloce;Sufficente;Alta;25;1
11;7;alt1;Codice;Lento;Ottimale;Bassa;25;0
11;7;alt2;Assistente;Lento;Ottimale;Alta;25;1
11;7;alt3;Content;Veloce;Sufficente;Alta;20;0
11;8;alt1;Codice;Veloce;Ottimale;Alta;25;1
11;8;alt2;Content;Lento;Ottimale;Alta;20;0
11;8;alt3;Assistente;Veloce;Sufficente;Bassa;15;0
11;9;alt1;Codice;Veloce;Sufficente;Bassa;25;0
11;9;alt2;Assistente;Lento;Ottimale;Bassa;20;1
11;9;alt3;Content;Lento;Sufficente;Alta;15;0
11;10;alt1;Assistente;Veloce;Sufficente;Bassa;15;1
11;10;alt2;Content;Lento;Ottimale;Bassa;20;0
11;10;alt3;Content;Lento;Sufficente;Alta;25;0
12;1;alt1;Assistente;Lento;Ottimale;Bassa;25;1
12;1;alt2;Codice;Lento;Sufficente;Alta;20;0
12;1;alt3;Content;Veloce;Ottimale;Bassa;15;0
12;2;alt1;Content;Veloce;Ottimale;Bassa;25;0
12;2;alt2;Assistente;Veloce;Ottimale;Bassa;20;1
12;2;alt3;Codice;Lento;Sufficente;Alta;15;0
12;3;alt1;Codice;Lento;Sufficente;Bassa;20;0
12;3;alt2;Content;Lento;Ottimale;Alta;15;1
12;3;alt3;Assistente;Veloce;Sufficente;Alta;25;0
12;4;alt1;Assistente;Lento;Sufficente;Alta;20;0
12;4;alt2;Codice;Veloce;Sufficente;Bassa;15;1
12;4;alt3;Content;Veloce;Ottimale;Alta;25;0
12;5;alt1;Codice;Lento;Sufficente;Alta;25;0
12;5;alt2;Assistente;Lento;Sufficente;Bassa;15;0
12;5;alt3;Codice;Veloce;Ottimale;Alta;20;1
12;6;alt1;Codice;Lento;Ottimale;Bassa;15;1
12;6;alt2;Content;Veloce;Ottimale;Bassa;20;0
12;6;alt3;Assistente;Veloce;Sufficente;Alta;25;0
12;7;alt1;Codice;Lento;Ottimale;Bassa;25;0
12;7;alt2;Assistente;Lento;Ottimale;Alta;25;1
12;7;alt3;Content;Veloce;Sufficente;Alta;20;0
12;8;alt1;Codice;Veloce;Ottimale;Alta;25;0
12;8;alt2;Content;Lento;Ottimale;Alta;20;0
12;8;alt3;Assistente;Veloce;Sufficente;Bassa;15;1
12;9;alt1;Codice;Veloce;Sufficente;Bassa;25;0
12;9;alt2;Assistente;Lento;Ottimale;Bassa;20;1
12;9;alt3;Content;Lento;Sufficente;Alta;15;0
12;10;alt1;Assistente;Veloce;Sufficente;Bassa;15;1
12;10;alt2;Content;Lento;Ottimale;Bassa;20;0
12;10;alt3;Content;Lento;Sufficente;Alta;25;0
13;1;alt1;Assistente;Lento;Ottimale;Bassa;25;0
13;1;alt2;Codice;Lento;Sufficente;Alta;20;1
13;1;alt3;Content;Veloce;Ottimale;Bassa;15;0
13;2;alt1;Content;Veloce;Ottimale;Bassa;25;0
13;2;alt2;Assistente;Veloce;Ottimale;Bassa;20;0
13;2;alt3;Codice;Lento;Sufficente;Alta;15;1
13;3;alt1;Codice;Lento;Sufficente;Bassa;20;0
13;3;alt2;Content;Lento;Ottimale;Alta;15;0
13;3;alt3;Assistente;Veloce;Sufficente;Alta;25;1
13;4;alt1;Assistente;Lento;Sufficente;Alta;20;1
13;4;alt2;Codice;Veloce;Sufficente;Bassa;15;0
13;4;alt3;Content;Veloce;Ottimale;Alta;25;0
13;5;alt1;Codice;Lento;Sufficente;Alta;25;0
13;5;alt2;Assistente;Lento;Sufficente;Bassa;15;0
13;5;alt3;Codice;Veloce;Ottimale;Alta;20;1
13;6;alt1;Codice;Lento;Ottimale;Bassa;15;0
13;6;alt2;Content;Veloce;Ottimale;Bassa;20;0
13;6;alt3;Assistente;Veloce;Sufficente;Alta;25;1
13;7;alt1;Codice;Lento;Ottimale;Bassa;25;0
13;7;alt2;Assistente;Lento;Ottimale;Alta;25;1
13;7;alt3;Content;Veloce;Sufficente;Alta;20;0
13;8;alt1;Codice;Veloce;Ottimale;Alta;25;1
13;8;alt2;Content;Lento;Ottimale;Alta;20;0
13;8;alt3;Assistente;Veloce;Sufficente;Bassa;15;0
13;9;alt1;Codice;Veloce;Sufficente;Bassa;25;0
13;9;alt2;Assistente;Lento;Ottimale;Bassa;20;0
13;9;alt3;Content;Lento;Sufficente;Alta;15;1
13;10;alt1;Assistente;Veloce;Sufficente;Bassa;15;0
13;10;alt2;Content;Lento;Ottimale;Bassa;20;0
13;10;alt3;Content;Lento;Sufficente;Alta;25;1
14;1;alt1;Assistente;Lento;Ottimale;Bassa;25;1
14;1;alt2;Codice;Lento;Sufficente;Alta;20;0
14;1;alt3;Content;Veloce;Ottimale;Bassa;15;0
14;2;alt1;Content;Veloce;Ottimale;Bassa;25;0
14;2;alt2;Assistente;Veloce;Ottimale;Bassa;20;1
14;2;alt3;Codice;Lento;Sufficente;Alta;15;0
14;3;alt1;Codice;Lento;Sufficente;Bassa;20;0
14;3;alt2;Content;Lento;Ottimale;Alta;15;1
14;3;alt3;Assistente;Veloce;Sufficente;Alta;25;0
14;4;alt1;Assistente;Lento;Sufficente;Alta;20;0
14;4;alt2;Codice;Veloce;Sufficente;Bassa;15;0
14;4;alt3;Content;Veloce;Ottimale;Alta;25;1
14;5;alt1;Codice;Lento;Sufficente;Alta;25;0
14;5;alt2;Assistente;Lento;Sufficente;Bassa;15;0
14;5;alt3;Codice;Veloce;Ottimale;Alta;20;1
14;6;alt1;Codice;Lento;Ottimale;Bassa;15;0
14;6;alt2;Content;Veloce;Ottimale;Bassa;20;1
14;6;alt3;Assistente;Veloce;Sufficente;Alta;25;0
14;7;alt1;Codice;Lento;Ottimale;Bassa;25;0
14;7;alt2;Assistente;Lento;Ottimale;Alta;25;1
14;7;alt3;Content;Veloce;Sufficente;Alta;20;0
14;8;alt1;Codice;Veloce;Ottimale;Alta;25;0
14;8;alt2;Content;Lento;Ottimale;Alta;20;0
14;8;alt3;Assistente;Veloce;Sufficente;Bassa;15;1
14;9;alt1;Codice;Veloce;Sufficente;Bassa;25;0
14;9;alt2;Assistente;Lento;Ottimale;Bassa;20;0
14;9;alt3;Content;Lento;Sufficente;Alta;15;1
14;10;alt1;Assistente;Veloce;Sufficente;Bassa;15;0
14;10;alt2;Content;Lento;Ottimale;Bassa;20;1
14;10;alt3;Content;Lento;Sufficente;Alta;25;0
15;1;alt1;Assistente;Lento;Ottimale;Bassa;25;0
15;1;alt2;Codice;Lento;Sufficente;Alta;20;1
15;1;alt3;Content;Veloce;Ottimale;Bassa;15;0
15;2;alt1;Content;Veloce;Ottimale;Bassa;25;0
15;2;alt2;Assistente;Veloce;Ottimale;Bassa;20;0
15;2;alt3;Codice;Lento;Sufficente;Alta;15;1
15;3;alt1;Codice;Lento;Sufficente;Bassa;20;0
15;3;alt2;Content;Lento;Ottimale;Alta;15;0
15;3;alt3;Assistente;Veloce;Sufficente;Alta;25;1
15;4;alt1;Assistente;Lento;Sufficente;Alta;20;0
15;4;alt2;Codice;Veloce;Sufficente;Bassa;15;0
15;4;alt3;Content;Veloce;Ottimale;Alta;25;1
15;5;alt1;Codice;Lento;Sufficente;Alta;25;0
15;5;alt2;Assistente;Lento;Sufficente;Bassa;15;0
15;5;alt3;Codice;Veloce;Ottimale;Alta;20;1
15;6;alt1;Codice;Lento;Ottimale;Bassa;15;0
15;6;alt2;Content;Veloce;Ottimale;Bassa;20;0
15;6;alt3;Assistente;Veloce;Sufficente;Alta;25;1
15;7;alt1;Codice;Lento;Ottimale;Bassa;25;0
15;7;alt2;Assistente;Lento;Ottimale;Alta;25;0
15;7;alt3;Content;Veloce;Sufficente;Alta;20;1
15;8;alt1;Codice;Veloce;Ottimale;Alta;25;1
15;8;alt2;Content;Lento;Ottimale;Alta;20;0
15;8;alt3;Assistente;Veloce;Sufficente;Bassa;15;0
15;9;alt1;Codice;Veloce;Sufficente;Bassa;25;0
15;9;alt2;Assistente;Lento;Ottimale;Bassa;20;0
15;9;alt3;Content;Lento;Sufficente;Alta;15;1
15;10;alt1;Assistente;Veloce;Sufficente;Bassa;15;0
15;10;alt2;Content;Lento;Ottimale;Bassa;20;0
15;10;alt3;Content;Lento;Sufficente;Alta;25;1
